iter	Passed	Remaining
0	0	89
1	1	79
2	2	74
3	2	68
4	3	65
5	4	64
6	4	63
7	5	62
8	6	62
9	6	61
10	7	60
11	8	60
12	8	59
13	9	59
14	10	58
15	11	58
16	11	57
17	12	57
18	13	57
19	14	57
20	15	57
21	16	58
22	17	57
23	17	56
24	18	56
25	19	55
26	20	55
27	21	54
28	21	53
29	22	53
30	23	52
31	24	51
32	25	51
33	25	50
34	26	49
35	27	48
36	28	48
37	29	47
38	29	46
39	30	45
40	31	45
41	31	43
42	32	42
43	32	41
44	33	41
45	34	40
46	35	39
47	35	38
48	36	38
49	37	37
50	37	36
51	38	35
52	39	34
53	39	33
54	40	32
55	40	31
56	41	31
57	42	30
58	42	29
59	43	28
60	43	28
61	44	27
62	45	26
63	45	25
64	46	25
65	47	24
66	47	23
67	48	22
68	49	22
69	49	21
70	50	20
71	51	19
72	51	19
73	52	18
74	53	17
75	53	17
76	54	16
77	54	15
78	55	14
79	56	14
80	56	13
81	57	12
82	57	11
83	58	11
84	59	10
85	59	9
86	60	9
87	61	8
88	61	7
89	62	6
90	62	6
91	63	5
92	64	4
93	64	4
94	65	3
95	65	2
96	66	2
97	67	1
98	67	0
99	68	0
